"id","code","name","address","developer_name","master_plan_url","infrastructure_map_url","construction_start_date_from","handover_date","rank","total_area","ctsn_dens","total_property","min_selling_price","max_selling_price","min_unit_price","max_unit_price","blocks","number_ele","number_living_floor","number_basement","min_prop_per_floor","max_prop_per_floor","bike_parking_monthly","car_parking_monthly","latitude","longitude"
"273434ed-9a85-2ca9-cf01-f99b57401944","Imperia Sky Garden","Imperia Sky Garden","P. Vĩnh Tuy, Q. Hai Bà Trưng, TP. Hà Nội","TERRA GOLD Việt Nam (đơn vị phát triển: M.I.K Group)","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/6.%20Imperia%20Sky%20Garden/6.%20Imperia%20Sky%20Garden.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Hai%20B%C3%A0%20Tr%C6%B0ng.png","2016-01-01","2000-12-31","Cao cấp",3.8,35,1872,4136278248,8273143838,61359352,81380800,4,8,27,2,18,18,45000,0,20.99836,105.86689
"f23c7f6b-dd2b-c30c-0961-142a264eb995","Imperia Smart City","Imperia Smart City","P. Tây Mỗ, Q. Nam Từ Liêm, TP. Hà Nội","Công ty cổ phần HBI","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/256.%20Imperia%20Smart%20City/256.%20Imperia%20Smart%20City.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Nam%20T%E1%BB%AB%20Li%C3%AAm.png","2020-01-01","2022-01-01","Cao cấp",3.3,0.31,1406,2014323699,6126681096,63022577,84759699,2,6,39,1,1,30,90000,1200000,20.99931,105.73934
"0726b916-b55a-33b0-34d2-2238423d1fdf","Chung cư Lumiere Boulevard","LUMIÈRE Boulevard","P. Long Bình, TP. Thủ Đức, TP. Hồ Chí Minh","Masterise Homes","","","2021-01-01","2023-06-01","",3.37,0.28,0,3008987658,23463464745,58061606,102818632,0,7,39,2,12,17,0,0,10.839651,106.839762
"e5a58aa1-7c2f-3849-eff3-5cf1362ae401","MHEG","LUMIÈRE Evergreen","P. Tây Mỗ, Q. Nam Từ Liêm, TP. Hà Nội","Masterise Homes","","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Nam%20T%E1%BB%AB%20Li%C3%AAm.png","2023-11-18","2026-04-01","",1.7,0.31,0,2493743168,8399607022,67872430,89047530,0,10,39,1,18,26,0,0,21.001813,105.739716
"d6e2befe-e05b-4924-99ed-bea9bacc6626","OCP","Masteri Waterfront","X. Đa Tốn, H. Gia Lâm, TP. Hà Nội","Masterise Group","https://storage.googleapis.com/cdn.onehousing.vn/HD/D%E1%BB%B1%20%C3%A1n%201H%20%C4%91ang%20b%C3%A1n/Masteri%20Waterfront/Masteri%20Waterfront%20phoi%20canh.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Gia%20L%C3%A2m.png","2020-10-01","2023-06-01","Cao cấp",3.75,0.27,3837,1801736701,9364861839,59968658,93087335,6,5,38,1,22,30,0,0,20.99321,105.94416
"027f12d0-25af-4c0d-ab68-2cea3e335418","MWH","Masteri West Heights","P. Tây Mỗ, Q. Nam Từ Liêm, TP. Hà Nội","Masterise Group","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/255.%20Masteri%20West%20Heights/255.%20Masteri%20West%20Heights.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Nam%20T%E1%BB%AB%20Li%C3%AAm.png","2020-03-01","2023-09-01","Cao cấp",2.11,0.33,0,2156094486,11102264919,68168168,100806535,0,6,39,2,19,30,0,0,20.998162,105.740314
"97658677-0aba-47e4-bf56-29a767748139","Vinhomes Royal City","Vinhomes Royal City","P. Thượng Đình, Q. Thanh Xuân, TP. Hà Nội","Công ty Cổ Phần Đầu Tư Và Phát triển Địa Ốc Thành Phố Hoàng Gia","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/253.%20Vinhomes%20Royal%20City/253.%20Vinhomes%20Royal%20City.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Thanh%20Xu%C3%A2n.png","2011-01-01","2000-12-31","Cao cấp",12,0.23,4574,3981186000,20289892837,66639793,104997545,6,8,35,3,19,30,45000,1250000,21.002741,105.815238
"1effb236-56e7-11eb-ae93-0242ac130002","VHTC","Vinhomes Times City","P. Vĩnh Tuy, Q. Hai Bà Trưng, TP. Hà Nội","Công ty Cổ Phần Phát Triển Đô Thị Nam Hà Nội","","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Hai%20B%C3%A0%20Tr%C6%B0ng.png","2011-01-01","2013-10-01","Cao cấp,Trung cấp",2.5,0.37,0,4315878606,16686054001,81881563,115300079,0,8,35,2,16,24,45000,1250000,20.992086,105.869067
"5f019374-797b-22a8-f70a-c42e4211f10d","LUMIÈRE Wellspring","LUMIÈRE SpringBay","X. Nghĩa Trụ, H. Văn Giang, T. Hưng Yên","Masterise Homes","","","2024-06-01","1900-01-01","",3.23,0.2,0,0,0,0,0,0,4,27,2,20,22,0,0,20.952583,105.981878
"cf917354-48bf-11eb-b378-0242ac130002","VHOP","Vinhomes Ocean Park","TT. Trâu Quỳ, H. Gia Lâm, TP. Hà Nội","Tập đoàn Vingroup - Masterise Group - Mitsuibishi","https://storage.googleapis.com/cdn.onehousing.vn/HD/D%E1%BB%B1%20%C3%A1n%201H%20%C4%91ang%20b%C3%A1n/Vinhomes%20Ocean%20Park/Vinhomes%20Ocean%20Park%20phoi%20canh.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Gia%20L%C3%A2m.png","2018-01-01","2021-11-01","Cao cấp,Trung cấp",423.6,0.19,0,1538007118,139469287262,47190443,397678012,0,4,37,1,1,44,45000,1250000,20.998087,105.953441
"16a7f900-56e6-11eb-ae93-0242ac130002","VHSC","Vinhomes Smart City","P. Tây Mỗ, Q. Nam Từ Liêm, TP. Hà Nội","Tập đoàn Vingroup, MIK Group, Masterise Group, Tập đoàn Samty Nhật Bản","https://storage.googleapis.com/cdn.onehousing.vn/HD/D%E1%BB%B1%20%C3%A1n%201H%20%C4%91ang%20b%C3%A1n/Vinhomes%20Smart%20City/Vinhomes%20Smart%20City%20phoi%20canh.png","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Nam%20T%E1%BB%AB%20Li%C3%AAm.png","2018-01-01","2020-08-01","Cao cấp,Trung cấp",280,0.19,0,1923298088,6767517971,60117444,91790510,0,5,39,1,1,31,45000,1000000,21.003255,105.736564
"9419798f-17e1-cef0-b979-18af44addaad","16B Nguyễn Thái Học","16B Nguyễn Thái Học","P. Yết Kiêu, Q. Hà Đông, TP. Hà Nội","Công ty XD 319 Quân khu 3- Bộ quốc phòng","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects/16112022/16B%20Nguy%E1%BB%85n%20Th%C3%A1i%20H%E1%BB%8Dc.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_H%C3%A0%20%C4%90%C3%B4ng.png","2008-09-01","2011-12-01","",0.39,0.61,0,2318480294,3358022327,27685306,34017354,0,6,27,1,16,16,100000,1200000,20.973031,105.775742
"11b72a9f-9845-4d16-8915-fb3d103f551f","199 Cowa Tower","199 Cowa Tower","P. Cầu Diễn, Q. Nam Từ Liêm, TP. Hà Nội","Công ty cổ phần và tập đoàn xây dựng phát triển Đông Đô - Bộ Quốc Phòng và Công ty cổ phần lắp đặt máy điện nước và xây dựng số 2","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/157.%20199%20Cowa%20Tower/157.%20199%20Cowa%20Tower.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Nam%20T%E1%BB%AB%20Li%C3%AAm.png","2016-01-01","2017-10-01","Trung cấp",0.17,51.4,144,2357850600,5495981400,35075872,40736570,1,3,23,2,8,8,80,1,21.040332,105.764062
"3c90166f-5761-b907-1fdc-2de35c0f67ff","24 Nguyễn Khuyến","24 Nguyễn Khuyến","P. Văn Quán, Q. Hà Đông, TP. Hà Nội","Công ty cổ phần Thương Mại và Đầu Tư Linh Châu.","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/114.%2024%20Nguy%E1%BB%85n%20Khuy%E1%BA%BFn/114.%2024%20Nguy%E1%BB%85n%20Khuy%E1%BA%BFn.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_H%C3%A0%20%C4%90%C3%B4ng.png","2018-01-01","2000-12-31","Trung cấp",0.14,57.5,160,2126250000,3594300385,36698625,43168219,1,3,23,1,8,8,90000,1200000,20.977513,105.786841
"3f678e42-743f-9c28-6467-81aac827c87d","60 Hoàng Quốc Việt","60 Hoàng Quốc Việt","P. Nghĩa Đô, Q. Cầu Giấy, TP. Hà Nội","Tổng Công ty ĐTPT Nhà và Đô thị Bộ Quốc Phòng","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/72.%2060%20Ho%C3%A0ng%20Qu%E1%BB%91c%20Vi%E1%BB%87t/72.%2060%20Ho%C3%A0ng%20Qu%E1%BB%91c%20Vi%E1%BB%87t.PNG","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_C%E1%BA%A7u%20Gi%E1%BA%A5y.png","2016-01-01","2000-12-31","Trung cấp",4.9,33,378,4257275642,7791375420,53441041,66463846,1,6,25,1,18,18,120000,1200000,21.047322,105.796753
"687dcc38-cb11-41bc-93c6-c75adaf0038c","90 Nguyễn Tuân","90 Nguyễn Tuân","P. Thanh Xuân Trung, Q. Thanh Xuân, TP. Hà Nội","Công ty Cổ phần Đầu tư Đô thị và KCN Sông Đà 7","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/226.%2090%20Nguy%E1%BB%85n%20Tu%C3%A2n/226.%2090%20Nguy%E1%BB%85n%20Tu%C3%A2n.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Thanh%20Xu%C3%A2n.png","2017-01-01","2000-12-31","Cao cấp,Trung cấp",3.7,0,832,4286452475,6547489742,59424082,68050936,2,7,29,3,16,16,80000,1200000,20.99542,105.80578
"20a25045-1997-79fd-ee8b-3629ebb62453","A1 CT2 Linh Đàm","A1 CT2 Linh Đàm","P. Hoàng Liệt, Q. Hoàng Mai, TP. Hà Nội","Công ty cổ phần phát triển Nhà xã hội – HUDVN","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects2/A1%20CT2%20Linh%20%C4%90%C3%A0m/A1%20CT2%20Linh%20%C4%90%C3%A0m.png","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Ho%C3%A0ng%20Mai.png","2000-12-31","2016-12-01","Trung cấp",1.92,0.34,140,2894927006,5553131076,36430660,43953727,1,2,21,1,7,7,120000,1200000,20.964646,105.822451
"317de348-695f-355b-abbc-48ad41bdeac3","A10 Nam Trung Yên","A10 Nam Trung Yên","P. Yên Hòa, Q. Cầu Giấy, TP. Hà Nội","Tổng công ty đầu tư và phát triển nhà Hà Nội","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/73.%20A10%20Nam%20Trung%20Y%C3%AAn/73.%20A10%20Nam%20Trung%20Y%C3%AAn.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_C%E1%BA%A7u%20Gi%E1%BA%A5y.png","2015-01-01","2019-06-01","Trung cấp",3.37,0.29,726,3982504902,7298425062,63128235,71553186,2,5,37,3,11,11,0,0,21.019061,105.788
"97a91327-83f9-6b21-0e55-e8e7bdd9a942","A14 Nam Trung Yên","A14 Nam Trung Yên","P. Yên Hòa, Q. Cầu Giấy, TP. Hà Nội","Tổng Công Ty Đầu Tư Và Phát Triển Nhà Hà Nội (Handico)","https://storage.googleapis.com/cdn.onehousing.vn/HD/Project/74.%20A14%20Nam%20Trung%20Y%C3%AAn/74.%20A14%20Nam%20Trung%20Y%C3%AAn.jpg","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_C%E1%BA%A7u%20Gi%E1%BA%A5y.png","2011-01-01","2019-07-01","Trung cấp",5.39,0.37,880,2379738763,4251913361,52039204,59976099,4,4,21,2,22,22,0,0,21.01779,105.789038
"251c8054-83c2-b6f2-a877-da13d88cc466","AQH Riverside","AQH Riverside","P. Thượng Thanh, Q. Long Biên, TP. Hà Nội","Công ty TNHH An Quý Hưng","https://storage.googleapis.com/cdn.onehousing.vn/HD/Projects2/Urgent/AQH%20Riverside/AQH%20Riverside.png","https://storage.googleapis.com/cdn.onehousing.vn/HD/Th%C3%B4ng%20tin%20qu%E1%BA%ADn%20huy%E1%BB%87n/Infra%20Map_Long%20Bi%C3%AAn.png","2000-12-31","2021-01-01","Trung cấp",0.69,0.4,378,2252000000,3324422451,38861986,49756802,1,6,23,2,18,18,120000,900000,21.0713,105.88473
